Image ID,Study,Label,Prediction,Status,Augmentation,Confidence,Heatmap,Score,Justification
1,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,0.82,Lime,0.3,Failed to capture some browning spots while highlighting noise in sky or unnecessary leaves. Very weak maps
1,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,0.82,GradCAM,0.8,"Captured many tips as red or yellow. All damaged leaves were highlighted, but some spots were shown too weak. Highlighted too much noise"
1,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,0.82,Integrated Gradients,0.6,Capture most browning spots but failed to capture a few important regions or incorrectly highlighted noise
1,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,Lime,0.3,Highlighted most of the map with about 0.5-0.7 but hard to assess to normal user due to too much
1,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,GradCAM,0.7,Similar results to non-aug except skipping on some essential brown regions and highlighting too much noise
1,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,Integrated Gradients,0.8,Highlighted most damage but failed to capture some
2,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,1,Lime,0.2,Got some regions right with little attribution. Missed essential regions
2,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,1,GradCAM,0.8,"Highlighted lighter leaves and more obvious larger leaves, but missed dried leaves at the bottom"
2,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,No,1,Integrated Gradients,0.7,"Highlighted lighter leaves and more obvious larger leaves with lower confidence, but missed dried leaves at the bottom"
2,Bacterial Leaf Blight,Bacterial Leaf Blight,Bacterial Leaf Blight,TP,Yes,1,Lime,0.5,Highlighted essential regions with moderate confidence but less important regions (dried leaves at bottom) with very high confidence. Missed some spots and highlighted too much
